Patient ID,First Name,Last Name,Date of Birth,Gender,SSN,Phone Number,Medical Condition,Medication,Street Address,City,State,Zip Code
P743206,Miguel,Shaw,1983-01-06,Female,351-98-7163,757-876-9365,High Cholesterol,Omeprazole,53081 Margaret Prairie,Lauraburgh,HI,88070
P74902,Julie,Shannon,1955-09-18,Male,843-20-7311,295-382-4228,Flu,Amlodipine,408 Lawrence Ways,Vaughnstad,NM,18711
P558359,Christine,Barnes,1979-10-02,Female,619-01-9630,320-690-3189,Migraine,Naproxen,969 Sullivan Squares Suite 052,Lake Kaylee,SC,52969
P453210,Nicholas,Young,1946-08-09,Female,783-20-8201,494-358-6352,Flu,Zanamivir,51888 Jenkins Mountain Suite 162,Markside,NJ,88610
P722860,Christine,Velasquez,1984-09-17,Male,133-94-1962,216-635-1344,Acid Reflux,Doxepin,4689 Jacobs Radial,West Tina,NC,92326
P917312,Kevin,Graham,1974-12-07,Male,859-96-4437,215-248-6285,Hypertension,Omeprazole,19689 Ramirez Common Suite 748,Ericstad,IL,40633
P873887,Kathleen,Francis,1958-08-12,Female,514-56-2907,725-493-6192,Cough,Loratadine,673 Samantha Ridge Suite 580,Bennettmouth,RI,34679
P774100,Olivia,Walters,1980-03-13,Male,084-84-4168,689-635-7658,Diabetes,Gliclazide,75133 Mark Ranch,North Kyleborough,CA,15801
P873657,Amy,Wall,1945-10-22,Male,414-42-8532,259-269-0464,Hypertension,Oseltamivir,89904 Monica Neck,Davidhaven,LA,09265
P672647,Michael,Anderson,2005-06-24,Female,169-68-0132,962-905-9695,High Cholesterol,Simvastatin,771 Patricia Summit,Lewisview,UT,11405
P581905,Amy,Meadows,1977-11-10,Female,312-10-6199,628-952-8804,Flu,Cetirizine,271 Monica Cliff,West Nancymouth,IA,81535
P603770,Crystal,Gardner,2003-12-26,Male,232-23-6583,297-379-8758,Cough,Dextromethorphan,23332 Mcneil Bridge Apt. 446,South Amybury,MN,04392
P753174,Amy,Bauer,1990-03-26,Female,218-15-1969,614-648-7588,Depression,Rosuvastatin,759 John Rapid,Lake Loganshire,TN,22900
P727334,Amanda,Brewer,1993-11-21,Female,777-25-3516,501-588-9979,Insomnia,Esomeprazole,4320 Aaron Trace Suite 046,Paulaview,ND,10067
P404133,Lauren,Johnson,1992-03-12,Female,489-82-6743,851-939-4611,Arthritis,Escitalopram,52058 Smith Mountain Apt. 888,East Jessica,MT,87410
P9141,Samuel,Johnson,1979-05-13,Male,642-21-2417,612-831-7828,Insomnia,Montelukast,9075 Smith Trail,East Jamesport,KY,38651
P200222,Kevin,Savage,1970-11-18,Female,567-65-3776,212-669-7431,Cough,Simvastatin,64299 Williams Ridges,East Christyhaven,PR,49343
P310707,Joy,Rogers,1986-07-15,Male,109-53-8148,257-918-8856,Insomnia,Esomeprazole,9781 John Gardens,Mccoyside,NE,79500
P356722,Kurt,Flores,1950-05-16,Male,252-88-8527,320-855-7119,Migraine,Naproxen,351 Mack Estates,Lake Matthewbury,LA,52171
P42877,Mark,Jones,1986-04-12,Female,743-02-6811,404-836-4398,Asthma,Fluoxetine,95929 Chris Coves,Chandlershire,MT,75212
P417457,Jared,Hodge,1992-02-16,Female,238-99-8106,598-838-9343,Diabetes,Loratadine,08367 Adam Junction Suite 482,North Joseph,MN,65788
P345444,Denise,Garcia,1949-08-17,Male,854-06-9741,931-347-2260,Depression,Codeine,16619 Maria Highway Suite 728,Wrightton,AZ,13299
P791268,Ariana,White,1982-01-05,Male,812-07-1288,270-334-2692,Arthritis,Trazodone,0217 Rodriguez Via,Port Marioburgh,SC,34091
P322788,Matthew,Sanders,1990-04-28,Male,354-54-1147,517-519-9449,Asthma,Albuterol,974 Mccoy Place,South Angelachester,WA,39670
P423790,Jeffrey,Collins,1967-04-01,Female,509-77-7415,755-336-1994,Diabetes,Cetirizine,6806 Daniel Green,West April,OH,41480
P724684,Laura,Johnson,1959-04-30,Female,678-88-1128,454-958-2867,Flu,Peramivir,8460 Calhoun Avenue,Aaronview,MN,01471
P233296,Kristina,Smith,1977-11-10,Male,312-10-6199,254-522-8990,Diabetes,Amlodipine,271 Monica Cliff,West Nancymouth,IA,81535
P635464,Sheena,Stevens,1977-11-10,Female,312-10-6199,953-493-4014,Depression,Simvastatin,271 Monica Cliff,West Nancymouth,IA,81535
P517097,Lucas,Montgomery,1944-10-26,Male,535-50-3934,513-870-8497,Asthma,Albuterol,870 Curtis Pines Apt. 130,Port Larryborough,KS,66627
P138830,Jody,Poole,1980-03-13,Female,084-84-4168,998-624-1826,Allergies,Omeprazole,75133 Mark Ranch,North Kyleborough,CA,15801
P331291,Cynthia,Guerra,1997-05-26,Male,300-64-4181,743-233-6965,Acid Reflux,Naproxen,753 Warner Square Apt. 317,Michaelside,LA,67417
P507296,Jody,Hale,1970-01-17,Female,104-66-1125,652-745-1391,Acid Reflux,Amlodipine,238 Sawyer Bridge Apt. 232,Lake Tyler,NH,54732
P670611,Cindy,Patterson,1950-08-28,Male,206-36-5416,443-332-4927,Migraine,Naproxen,183 Williams Pine,South Cheyenneton,MS,50676
P230497,David,Dalton,1948-07-06,Female,687-83-3839,687-884-1462,Diabetes,Zanamivir,54931 Margaret Overpass Apt. 848,Jessicaberg,WI,29220
P627746,Dorothy,Porter,1977-10-10,Male,587-81-2781,567-733-1921,Depression,Losartan,18467 Russell Spring Apt. 122,Nicholasville,AK,15730
P288161,Cory,Sutton,1949-05-09,Male,130-93-2334,531-963-3604,Asthma,Celecoxib,36292 Donald Bypass Apt. 178,Rodriguezstad,PW,18610
P809734,Dillon,Lane,1956-07-07,Female,339-79-8369,750-534-0884,Migraine,Metformin,2076 Gray Pines Apt. 674,Youngview,GU,49013
P914508,Jessica,Jackson,1955-07-07,Male,592-37-3617,907-581-4489,Migraine,Omeprazole,2124 Jessica Greens Apt. 346,Daniellebury,ME,79644
P603461,Blake,Williamson,1952-07-08,Male,075-19-4371,243-258-7914,Arthritis,Sertraline,408 Krista Wall,New Stephanie,IN,58111
P328013,Ross,Donovan,1983-01-24,Female,158-05-8118,911-238-2557,Migraine,Escitalopram,059 Patrick Roads,Bradfordville,MS,50193
P375320,Lisa,Nguyen,1959-10-22,Male,239-99-7457,231-776-2930,High Cholesterol,Gliclazide,6229 Seth Forges Suite 487,Harrisshire,UT,04494
P738446,Kristi,Wagner,1998-08-24,Female,227-88-7200,296-352-7829,Insomnia,Ranitidine,32624 Corey Ports,Jeffreyborough,AR,02404
P183071,Travis,Rasmussen,1996-11-10,Female,722-72-9646,615-474-0209,Migraine,Cetirizine,49592 Lauren Landing Apt. 166,Lake Jose,NE,66118
P491537,Kelly,Patterson,1997-09-06,Female,205-13-9997,682-622-5222,Cough,Ibuprofen,4649 Ashley Lakes,Lake Richard,CO,30881
P937742,John,Merritt,1974-09-01,Male,805-36-2341,984-741-4968,Insomnia,Oseltamivir,5143 Lauren Field,Lake Desireeburgh,SD,62497
P164157,Jessica,Cole,1999-03-19,Female,542-29-7019,572-732-7416,Insomnia,Montelukast,211 Vaughn Corner,North Frankburgh,AS,62495
P328868,Mary,Molina,1999-03-19,Male,542-29-7019,909-566-2204,High Cholesterol,Sertraline,211 Vaughn Corner,North Frankburgh,AS,62495
P388720,Carmen,Hunter,1956-09-08,Male,586-26-8714,529-221-2203,Asthma,Fluoxetine,972 Barnes Street Suite 707,West Marcia,AR,39406
P222290,Scott,Klein,1998-02-24,Male,283-24-3747,987-753-3859,Arthritis,Atorvastatin,5096 Tammy Gardens Suite 318,West Peterhaven,SD,01345
P816083,Andrea,Lee,1965-01-30,Female,347-70-7600,890-521-6483,High Cholesterol,Peramivir,30050 Joseph Avenue,Lake Monica,NH,92801
P864847,Jillian,Herrera,1982-02-18,Male,699-73-2131,461-219-0193,Hypertension,Celecoxib,66426 Martin Islands Apt. 679,West Lindsayborough,NM,55389
P589349,Steve,Barnett,1960-04-30,Male,177-92-7161,860-496-3947,High Cholesterol,Peramivir,6969 Lucas Divide,New Kimberly,KY,21262
P414609,Lisa,Walton,1952-01-18,Male,467-66-7951,520-877-8887,Flu,Oseltamivir,184 Mary Junction,East Paul,DC,66429
P423665,John,Reeves,1990-12-12,Female,882-65-5373,454-732-8592,Insomnia,Oseltamivir,80935 Cummings Estates,Mollyland,NV,57706
P650953,Noah,King,1946-03-25,Female,806-04-4352,765-467-7108,Depression,Rosuvastatin,1082 Johns Point Apt. 993,Lake Darrellstad,NY,41208
P657545,Jorge,Delgado,1998-02-28,Female,499-94-2074,856-212-7855,Hypertension,Gliclazide,391 Williams Circles Apt. 327,Valeriefort,HI,82144
P801678,Karen,Schaefer,1946-08-03,Female,626-82-8989,956-836-8503,High Cholesterol,Amlodipine,773 Melissa Bridge Suite 924,Matthewmouth,GU,75777
P673882,Crystal,Sparks,1992-05-10,Female,572-24-1879,634-353-0740,Asthma,Amlodipine,0881 Blackwell Gateway,Port Christopherberg,UT,28550
P748640,Angela,Lara,1960-01-08,Female,155-98-3795,549-830-2417,Arthritis,Zolpidem,255 Tracy Common,Angelicaside,WI,71633
P894793,Megan,Mcdonald,1951-12-20,Female,787-87-2814,633-545-4224,High Cholesterol,Amlodipine,164 Henry Courts,Chandlerview,NC,17907
P938822,Kimberly,Snyder,1989-10-31,Male,800-54-7803,578-518-5238,Allergies,Albuterol,1030 David Mission,Nicholshaven,ND,08718
P721872,Leslie,Smith,1948-01-13,Male,253-75-5028,674-996-5698,Acid Reflux,Lisinopril,6904 Harris Place Apt. 413,Robertsbury,RI,04399
P876193,Marissa,Martin,2005-08-26,Male,721-11-5289,264-389-4490,Flu,Propranolol,3270 Richard Streets,Oconnorport,MA,20778
P986303,Shawn,Suarez,1969-01-16,Male,159-10-3457,781-937-9769,Arthritis,Dextromethorphan,598 Campbell Mall,Christopherport,DE,21794
P80395,Robin,Perez,1984-09-25,Male,225-59-6460,674-573-8681,Asthma,Fluoxetine,9450 Brenda Forest,Parsonstown,IL,22303
P532325,Matthew,Schwartz,1967-09-20,Female,858-57-1481,713-708-1301,Asthma,Atorvastatin,9866 Smith Hills Suite 144,North Nathanchester,WY,02646
P543826,Michael,Dyer,1960-01-08,Male,155-98-3795,557-888-5371,Flu,Trazodone,255 Tracy Common,Angelicaside,WI,71633
P49513,Thomas,Acosta,2003-05-12,Female,446-31-5348,748-694-9578,Depression,Zanamivir,2136 Peggy Forest,Gregoryport,NM,65451
P191713,Nicole,Rowe,1949-08-17,Female,854-06-9741,887-418-7523,Depression,Loratadine,16619 Maria Highway Suite 728,Wrightton,AZ,13299
P730215,Kevin,Coleman,1986-09-15,Male,417-62-1624,572-634-4601,Hypertension,Esomeprazole,447 Stephanie Views Apt. 982,Chandlertown,FL,87816
P785616,Jesus,Ferguson,1991-01-02,Female,655-73-8422,215-553-5443,High Cholesterol,Escitalopram,308 Mike Underpass Apt. 294,New Laurafort,WA,18733
P38942,Emily,Heath,1949-11-07,Male,106-46-9709,414-597-0964,Arthritis,Doxepin,901 Saunders Greens Suite 560,Wilsonmouth,NM,06380
P335178,Stephen,Dunn,1944-10-13,Male,297-50-9584,814-435-1476,Diabetes,Dextromethorphan,902 Moore Isle,Rossstad,AR,12421
P138812,Yvonne,King,1992-02-02,Female,336-07-3986,893-703-2103,Diabetes,Dextromethorphan,9256 Kerry Field Suite 373,Port Daniel,NM,81694
P475886,Wesley,Smith,1964-12-12,Male,166-55-7014,913-957-6428,Depression,Zolpidem,0885 Anderson Junction,East Teresa,NY,59847
P710321,Kimberly,Morgan,1986-03-14,Male,804-34-9785,360-705-8861,Migraine,Guaifenesin,6200 Nichols Well,North Michael,OR,01776
P778035,Marcus,Lowe,1977-06-12,Male,444-85-6265,207-870-4154,Cough,Zolpidem,602 David Mountains Apt. 291,Raymondtown,AR,40743
P426216,Michael,Rosario,1992-05-10,Male,572-24-1879,394-350-2081,Allergies,Metformin,0881 Blackwell Gateway,Port Christopherberg,UT,28550
P805338,Ruth,Garcia,1997-05-26,Male,300-64-4181,657-475-5935,Diabetes,Peramivir,753 Warner Square Apt. 317,Michaelside,LA,67417
P70811,Miguel,Bell,1986-02-07,Male,190-81-7655,452-989-1591,Insomnia,Celecoxib,69422 Christopher Estate Apt. 645,New Michael,GA,18489
P544386,Michelle,Fields,1986-04-12,Male,743-02-6811,972-642-2806,Diabetes,Dextromethorphan,95929 Chris Coves,Chandlershire,MT,75212
P843492,Kimberly,Romero,1969-10-14,Male,810-61-4900,987-744-4375,Hypertension,Trazodone,015 Dana Terrace Apt. 631,West Manuel,VT,84360
P636645,Erica,Wilkerson,1994-06-23,Male,808-24-5576,838-363-2438,Asthma,Zanamivir,142 Mora Path Suite 345,Dominguezstad,AR,89800
P429818,Vincent,Brooks,1973-08-25,Male,804-26-7724,622-319-0107,Migraine,Esomeprazole,732 Angela Overpass Suite 458,Lake Mary,NC,75508
P725166,Bridget,Phillips,1987-09-18,Female,467-72-1263,932-405-8205,Allergies,Insulin,930 Howard Causeway Suite 748,Lake Martin,IA,51033
P501633,Joel,Larsen,1987-08-13,Female,569-09-6769,559-993-1253,Arthritis,Amlodipine,1342 Samuel Turnpike Suite 080,Williamsberg,NC,45273
P737645,Christopher,Hunter,1953-01-09,Female,050-08-2165,762-237-1062,Asthma,Zolpidem,7416 Kyle Ramp Apt. 161,Jamiestad,MD,91978
P27996,Steven,White,2001-08-28,Male,125-36-0376,619-488-1387,Asthma,Trazodone,3239 Henry Stravenue Suite 640,North Elizabethville,KS,80963
P248023,Brandon,Baker,2004-07-06,Male,734-53-4782,413-368-5952,Allergies,Simvastatin,450 Farrell Trail Apt. 918,Jenniferberg,MS,05598
P653097,Joseph,Noble,1985-10-11,Female,724-35-4170,910-265-4524,Asthma,Peramivir,93409 Julie Roads Apt. 687,Lake Lindafort,MI,53480
P964919,Paige,Mcknight,2004-08-02,Male,688-56-4058,331-452-8319,Depression,Gliclazide,1258 Patrick Throughway,Gloriaton,PA,53511
P641979,Rodney,Henry,2003-05-12,Female,446-31-5348,517-362-2450,Migraine,Naproxen,2136 Peggy Forest,Gregoryport,NM,65451
P642029,Diana,Holmes,1947-02-28,Female,226-58-8563,930-655-6438,Insomnia,Metformin,270 Martin Avenue,East Taylorland,DE,20636
P441074,Paula,Rogers,1974-05-05,Female,044-58-5018,482-670-6745,Asthma,Escitalopram,67766 Nathaniel Lock Apt. 921,South Scott,MH,55045
P669913,Jeffrey,Salazar,1960-04-30,Female,177-92-7161,953-899-6554,Arthritis,Cetirizine,6969 Lucas Divide,New Kimberly,KY,21262
P464067,Robert,Ryan,1944-03-14,Female,810-73-5566,266-723-1631,Insomnia,Metformin,222 Guerrero Dam,Marissaland,AK,81104
P33229,Bruce,Cook,1996-05-16,Male,865-17-7314,899-846-5985,Cough,Omeprazole,769 Blake Radial,Davidberg,WV,93720
P352971,Cheryl,Hanson,1948-07-06,Male,687-83-3839,736-908-4354,Hypertension,Atorvastatin,54931 Margaret Overpass Apt. 848,Jessicaberg,WI,29220
P973656,Courtney,Wilson,1995-01-24,Male,257-56-9282,267-849-4065,Migraine,Fexofenadine,20955 Contreras Port Suite 072,Jacobsberg,NJ,52483
P345573,Monica,Fleming,1986-03-14,Female,804-34-9785,277-992-7648,High Cholesterol,Metformin,6200 Nichols Well,North Michael,OR,01776
P152734,William,Rodriguez,1993-05-18,Male,133-83-1845,317-310-0967,Flu,Peramivir,619 Williams Loop,Garciabury,WY,14673
P185778,Jennifer,Escobar,1966-01-14,Male,233-83-6423,573-783-3955,Migraine,Gliclazide,0118 Andrews Street,New Allisonhaven,MO,86722
P345600,Heather,Weber,2004-02-16,Female,394-40-7644,294-206-0777,Acid Reflux,Amlodipine,6933 Kelly Trail,Hendersonport,CT,58539
P127316,Rebecca,Randall,1979-10-09,Male,363-96-1331,583-665-8952,Insomnia,Esomeprazole,7204 Harper Pines,Williamburgh,NC,01932
P970779,Rebecca,Sullivan,1984-12-04,Female,317-01-0702,524-552-2348,Flu,Fexofenadine,1381 Daniel Walk Suite 993,Lake Devonborough,SD,64678
P84200,Caleb,Dougherty,1983-01-24,Male,158-05-8118,522-576-2697,Depression,Albuterol,059 Patrick Roads,Bradfordville,MS,50193
P780701,Beth,Fitzpatrick,1987-06-30,Male,723-95-0596,383-750-4843,Arthritis,Omeprazole,350 Bartlett Highway,Rachelstad,ND,54697
P297077,James,Fuller,1971-05-26,Female,158-13-3772,796-807-0998,High Cholesterol,Albuterol,984 Erika Track,West David,VA,97511
P656998,Kimberly,Anderson,1970-11-18,Female,567-65-3776,577-371-5386,Acid Reflux,Loratadine,64299 Williams Ridges,East Christyhaven,PR,49343
P350000,Carlos,Ortiz,1987-12-29,Female,229-76-8124,433-274-7109,Arthritis,Sumatriptan,46570 Amanda Fall Apt. 295,North Summermouth,IL,07971
P777576,Thomas,Potter,1990-03-26,Male,218-15-1969,987-398-9708,Insomnia,Propranolol,759 John Rapid,Lake Loganshire,TN,22900
P424631,Bryce,Reynolds,1995-09-13,Male,064-98-8957,422-671-9948,Flu,Albuterol,54525 Christopher Centers,Charlesfort,CT,97752
P326911,Robin,Trevino,1955-12-03,Male,874-82-0187,384-486-5247,Allergies,Trazodone,19128 Jeremy Fork,Dannyfurt,AL,51449
P302037,Ashley,Poole,1949-12-04,Male,596-42-6603,788-813-4544,Depression,Trazodone,208 Johnson Cliffs,North Dakotaberg,UT,42542
P898319,Teresa,Dennis,1957-06-21,Female,358-21-4463,554-404-8297,Flu,Insulin,3105 Joshua Loaf Suite 406,West Leah,MO,67051
P906167,Ann,Henry,2001-01-15,Female,184-83-2436,688-401-1479,Cough,Rosuvastatin,4255 Travis Trafficway Suite 959,East Johnton,AS,90393
P717066,Daniel,Collins,1946-08-20,Female,847-74-6389,234-315-9377,Acid Reflux,Losartan,540 Felicia Forges,Lisachester,OK,45620
P200895,Lauren,Rocha,1994-06-23,Male,808-24-5576,677-431-6676,Depression,Dextromethorphan,142 Mora Path Suite 345,Dominguezstad,AR,89800
P868638,Debra,Campos,2001-09-26,Female,794-05-5228,585-718-0101,Hypertension,Omeprazole,47641 Johnny Greens,North Jose,ID,76223
P273128,Jennifer,Williams,1949-10-03,Male,446-99-8056,952-591-1261,High Cholesterol,Lisinopril,5660 Albert Greens,West Beverlymouth,WY,03346
P334836,Leah,Miller,1951-04-23,Male,877-18-0570,828-391-5967,Asthma,Gliclazide,602 Ortiz Valleys Apt. 674,Danielland,RI,41328
P666298,Nicholas,Williams,1950-05-16,Female,252-88-8527,258-226-0084,Insomnia,Escitalopram,351 Mack Estates,Lake Matthewbury,LA,52171
P463793,Kirsten,Taylor,2000-05-08,Female,075-57-8824,872-779-5180,Acid Reflux,Cetirizine,4259 Fischer Oval,South Melissa,IL,19461
P517772,Pamela,Torres,1974-10-01,Male,861-39-9410,298-630-3675,Cough,Guaifenesin,793 Kenneth Camp,Port Karenton,AZ,13889
P556662,Michael,Thomas,1958-08-12,Female,514-56-2907,994-558-8742,Diabetes,Sertraline,673 Samantha Ridge Suite 580,Bennettmouth,RI,34679
P931223,Hannah,Sanders,1961-07-08,Female,394-05-5255,440-578-4571,High Cholesterol,Omeprazole,8553 Pamela Creek,Valenciaberg,NC,07087
P519457,Robert,Bray,1944-09-03,Female,817-14-4604,820-464-4508,High Cholesterol,Metformin,81955 Young Rapid Suite 446,New Sharon,FL,57171
P128243,Corey,Stafford,1983-01-24,Male,158-05-8118,595-387-3943,Acid Reflux,Topiramate,059 Patrick Roads,Bradfordville,MS,50193
P426178,Kenneth,Fisher,1987-12-29,Male,229-76-8124,637-460-3613,Diabetes,Sumatriptan,46570 Amanda Fall Apt. 295,North Summermouth,IL,07971
P254518,Matthew,Cox,2004-03-13,Female,756-24-3077,787-957-2847,High Cholesterol,Sumatriptan,51801 Shawn Street Suite 920,South Timothyshire,GU,43110
P942830,Aaron,Evans,1962-03-21,Female,038-41-7130,928-931-2503,Flu,Codeine,10095 Martinez Way Suite 271,Ericahaven,MO,98968
P392150,Becky,Clark,1956-09-08,Male,586-26-8714,885-887-2266,Flu,Amlodipine,972 Barnes Street Suite 707,West Marcia,AR,39406
P929416,Vincent,Tran,1960-12-24,Male,218-51-4481,548-503-7184,Migraine,Fluoxetine,99921 Adams Road,Washingtonmouth,NV,69602
P623381,Jeffrey,Chung,1948-09-08,Male,180-76-3062,988-579-2894,Asthma,Sumatriptan,4398 Devin Meadows,Jacobshire,MO,87966
P460926,Matthew,Ryan,1967-05-22,Female,594-09-4271,901-974-2580,Migraine,Dextromethorphan,108 Suzanne Circles Apt. 954,New Brian,AR,76725
P820210,Crystal,Farmer,1995-09-30,Male,857-70-8092,492-831-4735,Arthritis,Omeprazole,462 Cohen Mills,East Robert,MO,93206
P666420,Marc,Klein,1970-05-12,Male,572-63-5390,620-406-2252,Insomnia,Rosuvastatin,496 Mckinney Summit Apt. 453,South Samantha,TX,72876
P567204,Christian,Trevino,1973-09-27,Female,237-24-4022,314-643-9896,Acid Reflux,Ibuprofen,131 Gerald Cove,South Daniel,MS,82386
P449646,Ellen,Johnson,1979-10-14,Female,401-95-7934,676-819-1498,Acid Reflux,Escitalopram,92884 Sarah Harbor,Carolynfort,VA,68663
P690968,Adam,Johnson,1949-08-17,Male,854-06-9741,624-638-2511,High Cholesterol,Sumatriptan,16619 Maria Highway Suite 728,Wrightton,AZ,13299
P553080,Isaac,Price,1945-05-16,Female,701-65-9924,470-375-2992,Asthma,Losartan,9468 Melissa Spur,Port Shelbyton,CT,68884
P978648,Mark,Winters,1990-12-12,Female,882-65-5373,418-606-1209,Allergies,Oseltamivir,80935 Cummings Estates,Mollyland,NV,57706
P738462,Sydney,Donovan,1970-09-09,Male,743-19-5567,896-422-3139,Cough,Sumatriptan,9455 Robertson Path Suite 466,Port Colinfurt,NM,92337
P889417,Justin,Cox,2000-12-14,Female,736-86-3988,850-794-2104,Insomnia,Albuterol,388 Cruz Plains Apt. 237,Jamesview,GA,05499
P15684,Martin,Ritter,1963-02-25,Female,209-01-1597,381-313-4359,Migraine,Propranolol,48180 Kristen Camp,Michellechester,MO,26347
P824078,Jose,Johnson,1995-05-14,Female,226-47-7473,237-804-4227,Depression,Topiramate,3123 Barnes Extension Suite 595,Matthewhaven,MD,92022
P718895,Melanie,Walter,1996-05-01,Female,512-39-0886,917-866-3920,Diabetes,Celecoxib,730 Hickman Drive,Hubbardfort,WA,90118
P684434,Jessica,Montgomery,2005-08-26,Male,721-11-5289,691-868-0690,Migraine,Amlodipine,3270 Richard Streets,Oconnorport,MA,20778
P626094,Ronald,Preston,1972-12-18,Female,639-35-7249,740-217-4043,Asthma,Simvastatin,4411 Andrea Via,Andreaton,NJ,84175
P778332,Amanda,Weaver,1992-01-09,Female,735-65-8035,495-583-5552,Flu,Lisinopril,952 Zachary Station,Martinezshire,ID,52483
P638256,Kelly,Anderson,1956-07-23,Female,813-91-3872,300-791-5449,Depression,Atorvastatin,5440 Thomas Fork,Parkerfurt,ND,60369
P5860,Thomas,Hammond,1965-09-20,Female,264-51-6936,590-788-5324,Allergies,Dextromethorphan,29225 Stephanie Crescent,Kristenton,TX,82812
P901179,Melissa,Love,1983-06-14,Female,545-71-1672,225-424-8106,Insomnia,Loratadine,63210 David Springs,Lake Michelle,OR,23064
P999845,Daniel,Russell,1954-07-11,Female,273-05-3644,534-909-9700,Cough,Naproxen,298 Rhodes Knolls,East Kelly,GU,80106
P289089,Jennifer,Allen,1986-02-07,Female,190-81-7655,821-936-4179,Allergies,Rosuvastatin,69422 Christopher Estate Apt. 645,New Michael,GA,18489
P206558,Alan,Heath,1984-01-20,Male,881-08-1575,367-332-4172,Diabetes,Losartan,1386 Amy Motorway Apt. 301,Owensland,NV,73746
P993588,Joshua,Hull,1955-09-29,Female,190-38-4780,319-620-0518,Hypertension,Escitalopram,4038 Yang Square Apt. 660,Thompsonberg,MN,24973
P851220,Mary,Barnett,1958-08-03,Male,831-54-1364,895-562-8633,Depression,Oseltamivir,2190 Whitney Street Suite 318,Brittanyland,CT,98214
P565941,Sharon,Cook,1965-06-17,Male,001-91-8790,515-804-9610,High Cholesterol,Codeine,242 Martinez Drives,South Catherinefort,CT,90249
P244140,Steven,Morris,1948-09-08,Male,180-76-3062,715-721-5674,Diabetes,Gliclazide,4398 Devin Meadows,Jacobshire,MO,87966
P605094,Kayla,Smith,1943-11-16,Female,508-06-5825,884-631-2172,Allergies,Peramivir,8203 French Glens Apt. 155,Brookehaven,PA,16975
P969971,Robert,Smith,1977-06-28,Male,061-58-4138,939-804-7937,Depression,Sumatriptan,064 Gary Plains,Timothyville,ND,06396
P567874,Albert,Lane,1977-06-28,Male,061-58-4138,394-630-5907,Cough,Doxepin,064 Gary Plains,Timothyville,ND,06396
P9068,Christopher,Simmons,1972-12-29,Female,650-68-6856,801-940-2348,Hypertension,Insulin,15677 Peter Branch Apt. 109,Montoyaside,DE,24057
P576616,Heather,Morales,2003-09-28,Male,215-02-6254,926-937-5534,Migraine,Naproxen,72265 Hernandez Streets,Cynthiatown,OR,13814
P476639,John,Erickson,1995-11-29,Male,136-10-2451,884-655-0416,Diabetes,Amlodipine,5388 Rita Squares,West Ryanland,DE,60418
P575730,Antonio,Montgomery,1954-05-11,Female,563-14-9137,392-216-1236,Diabetes,Metformin,507 Sarah Inlet Apt. 925,Jeffreyside,PR,41676
